(player_id, player_name, player_age, Player_position, Player_goals, team_id)
145,Junior Hoilett,32,SUB,null,6
146,Samuel Piette,28,SUB,null,6
147,Sam Adekugbe,28,LB,null,6
148,Steven de Sousa Vitória,36,CB,null,6
149,Mark-Anthony Kaye,28,SUB,null,6
150,Liam Millar,23,SUB,null,6
151,Joel Waterman,27,RES,null,6
152,David Wotherspoon,33,SUB,null,6
153,Ismaël Koné,20,RES,null,6
154,James Pantemis,26,SUB,null,6
155,Derek Cornelius,25,SUB,null,6
156,Liam Fraser,25,RES,null,6
157,Keylor Navas,36,GK,null,7
158,Bryan Ruiz,37,SUB,null,7
159,Óscar Esau Duarte Gaitán,33,CB,null,7
160,Joel Campbell,30,ST,null,7
161,Celso Borges,34,CM,null,7
162,Keysher Fuller,28,RB,null,7
163,Yeltsin Tejeda,31,CM,null,7
164,Kendall Waston,35,SUB,null,7
165,Juan Pablo Vargas,27,SUB,null,7
166,Ronald Matarrita,28,SUB,null,7
167,Gerson Torres,25,RM,null,7
168,Francisco Calvo,30,B,null,7
169,Esteban Alvarado,33,SUB,null,7
170,Bryan Oviedo,33,LB,null,7
171,Anthony Contreras,23,ST,null,7
172,Johan Venegas,34,SUB,null,7
173,Jewison Bennette,18,LM,null,7
174,Daniel Chacón,22,SUB,null,7
175,Brandon Aguilera,19,RES,null,7
176,Douglas López,24,SUB,null,7
177,Youstin Salas,26,SUB,null,7
178,Carlos Manuel Martínez Castro,24,RES,null,7
179,Patrick Gilmar Sequeira,24,SUB,null,7
180,Álvaro Zamora,21,SUB,null,7
181,Anthony Hernández,29,SUB,null,7
182,Roan Wilson,20,RES,null,7
183,Luka Modrić,37,CM,null,8
184,Marcelo Brozović,30,DM,null,8
185,Mateo Kovačić,28,CM,null,8
186,Ivan Perišić,34,LM,null,8
187,Andrej Kramarić,31,ST,null,8
188,Joško Gvardiol,21,CB,null,8
189,Mario Pašalić,28,RM,null,8
190,Lovro Majer,25,SUB,null,8
191,Dominik Livaković,28,GK,null,8
192,Borna Sosa,25,LB,null,8
193,Nikola Vlašić,25,SUB,null,8
194,Dejan Lovren,33,CB,null,8
195,Mislav Oršić,30,SUB,null,8
196,Marko Livaja,29,SUB,null,8
197,Josip Šutalo,23,SUB,null,8
198,Kristijan Jakić,25,SUB,null,8
199,Domagoj Vida,33,SUB,null,8
200,Ante Budimir,31,RES,null,8
201,Josip Juranović,27,RB,null,8
202,Bruno Petković,28,RES,null,8
203,Luka Sučić,20,RES,null,8
204,Martin Erlić,25,SUB,null,8
205,Ivo Grbić,27,SUB,null,8
206,Ivica Ivušić,28,SUB,null,8
207,Borna Barišić,30,SUB,null,8
208,Josip Stanišić,23,SUB,null,8
209,Pierre-Emile Højbjerg,27,CM,null,9
210,Christian Eriksen,31,CAM,null,9
211,Kasper Schmeichel,36,GK,null,9
212,Andreas Christensen,27,CB,null,9
213,Simon Kjær,34,CB,null,9
214,Thomas Delaney,31,CM,null,9
215,Daniel Wass,33,RB,null,9
216,Alexander Bah,25,SUB,null,9
217,Joachim Andersen,26,SUB,null,9
218,Rasmus Kristensen,25,SUB,null,9
219,Kasper Dolberg,25,ST,null,9
220,Yussuf Poulsen,28,SUB,null,9
221,Martin Braithwaite,31,SUB,null,9
222,Mikkel Damsgaard,22,LW,null,9
223,Jesper Lindstrøm,23,SUB,null,9
224,Andreas Skov Olsen,23,RW,null,9
225,Jonas WindD,24,SUB,null,9
226,Frederik Riis Rønnow,30,RES,null,9
227,Christian Nørgaard,29,SUB,null,9
228,Victor Nelsson,24,RES,null,9
229,Joakim Mæhle,25,LB,null,9
230,Mathias Jensen,27,SUB,null,9
231,Andreas Cornelius,30,SUB,null,9
232,Jens Stryger Larsen,32,SUB,null,9
233,Robert Skov,26,RES,null,9
234,Oliver Christensen,24,SUB,null,9
235,Pervis Estupiñán,25,LB,null,10
236,Piero Hincapié,21,CB,null,10
237,Gonzalo Plata,22,RM,null,10
238,Ángel Israel Mena Delgado,35,CAM,null,10
239,Felix Torres,26,CB,null,10
240,Enner Valencia,33,ST,null,10
241,Michael Estrada,27,SUB,null,10
242,Alexander Dominguez,35,GK,null,10
243,Robert Arboleda,31,SUB,null,10
244,Moisés Caicedo,21,CDM,null,10
245,José Cifuentes,24,SUB,null,10
246,Carlos Gruezo,28,CDM,null,10
247,Romario Ibarra,28,LM,null,10
248,Ayrton Preciado,28,SUB,null,10
249,Hernán Ismael Galíndez,36,SUB,null,10
250,Moisés Ramírez,22,SUB,null,10
251,Diego Palacios,23,SUB,null,10
252,William Pacho,21,SUB,null,10
253,Jackson Porozo,22,RES,null,10
254,Sebastían Méndez,45,SUB,null,10
255,Ángelo Preciado,25,RB,null,10
256,Xavier Arreaga,28,SUB,null,10
257,Jeremy Sarmiento,20,SUB,null,10
258,Kevin Rodríguez,23,RES,null,10
259,Djorkaeff Reasco,24,RES,null,10
260,Alan Franco,26,SUB,null,10
